,Title,Year,Category,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
3749,J. Edgar ,2011.0,Biography|Crime|Drama,English,USA,R,137.0,2.35,35000000.0,37304950.0,Clint Eastwood,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever,16000.0,29000.0,6000.0,363.0,36258,16000,0.0,102728,279.0,392.0,6.6
3750,Jack and Jill ,2011.0,Comedy,English,USA,PG,91.0,1.85,79000000.0,74158157.0,Dennis Dugan,Al Pacino,Adam Sandler,Tim Meadows,221.0,14000.0,11000.0,553.0,27405,0,2.0,60370,264.0,156.0,3.4
3751,"Jeff, Who Lives at Home ",2011.0,Comedy|Drama,English,USA,R,83.0,1.85,10000000.0,4244155.0,Jay Duplass,Judy Greer,Evan Ross,Rae Dawn Chong,157.0,2000.0,616.0,581.0,3374,0,5.0,56005,112.0,182.0,6.5
3752,Johnny English Reborn ,2011.0,Action|Adventure|Comedy|Crime,English,USA,PG,101.0,2.35,45000000.0,8129455.0,Oliver Parker,Daniel Kaluuya,Tim McInnerny,Togo Igawa,32.0,219.0,141.0,104.0,661,17000,1.0,89568,142.0,152.0,6.3
3753,Jumping the Broom ,2011.0,Comedy|Drama,English,USA,PG-13,112.0,1.85,6600000.0,37295394.0,Salim Akil,Gary Dourdan,Loretta Devine,Laz Alonso,70.0,1000.0,912.0,826.0,5959,0,8.0,7973,59.0,52.0,5.7
3754,Just Go with It ,2011.0,Comedy|Romance,English,USA,PG-13,117.0,1.85,80000000.0,103028109.0,Dennis Dugan,Adam Sandler,Bailee Madison,Kevin Nealon,221.0,11000.0,3000.0,503.0,16325,19000,1.0,172878,203.0,204.0,6.4
3755,Justin Bieber: Never Say Never ,2011.0,Documentary|Music,English,USA,G,115.0,1.85,13000000.0,73000942.0,Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,209.0,569.0,69.0,41.0,714,62000,1.0,74351,233.0,84.0,1.6
3756,Kevin Hart: Laugh at My Pain ,2011.0,Comedy|Documentary,English,USA,R,89.0,1.85,,7705974.0,Leslie Small,Isaac C. Singleton Jr.,Larry King,Jeanette Branch,15.0,312.0,135.0,95.0,548,614,1.0,3543,8.0,5.0,7.5
3757,Kill List ,2011.0,Crime|Horror|Thriller,English,UK,Not Rated,95.0,2.35,500000.0,26297.0,Ben Wheatley,MyAnna Buring,Ben Crompton,Neil Maskell,214.0,513.0,257.0,246.0,1269,0,0.0,25750,209.0,255.0,6.3
3758,Killer Elite ,2011.0,Action|Crime|Thriller,English,UK,R,116.0,2.35,35000000.0,25093607.0,Gary McKendry,Jason Statham,Robert De Niro,Ben Mendelsohn,5.0,26000.0,22000.0,748.0,49608,17000,2.0,105556,157.0,189.0,6.5
3759,Killer Joe ,2011.0,Crime|Drama|Romance|Thriller,English,USA,R,98.0,1.85,11000000.0,1987762.0,William Friedkin,Matthew McConaughey,Scott A. Martin,Carol Sutton,607.0,11000.0,414.0,251.0,11853,12000,0.0,59297,216.0,376.0,6.7
3760,Kung Fu Panda 2 ,2011.0,Action|Adventure|Animation|Comedy|Family,English,USA,PG,90.0,2.35,150000000.0,165230261.0,Jennifer Yuh Nelson,Angelina Jolie Pitt,Gary Oldman,Mike Bell,90.0,11000.0,10000.0,15.0,21015,20000,0.0,182718,209.0,284.0,7.3
3761,L!fe Happens ,2011.0,Comedy,English,USA,R,100.0,2.35,930000.0,20186.0,Kat Coiro,Justin Kirk,Geoff Stults,Kristen Johnston,28.0,945.0,756.0,501.0,2924,995,8.0,6025,15.0,18.0,5.7
3762,Larry Crowne ,2011.0,Comedy|Drama|Romance,English,USA,PG-13,98.0,2.35,30000000.0,35565975.0,Tom Hanks,Tom Hanks,Rob Riggle,Randall Park,15000.0,15000.0,839.0,392.0,16827,0,0.0,49205,184.0,218.0,6.1
3763,Le Havre ,2011.0,Comedy|Drama,French,Finland,Not Rated,93.0,1.85,3850000.0,611709.0,Aki Kaurismäki,Jean-Pierre Léaud,Kati Outinen,Jean-Pierre Darroussin,592.0,232.0,67.0,36.0,391,0,1.0,15267,41.0,205.0,7.2
3764,Legend of Kung Fu Rabbit ,2011.0,Action|Adventure|Animation|Comedy|Family,Mandarin,China,PG,89.0,,,,Lijun Sun,Jon Heder,Tom Arnold,Rebecca Black,0.0,970.0,618.0,188.0,1854,211,0.0,408,12.0,5.0,3.2
3765,Like Crazy ,2011.0,Drama|Romance,English,USA,PG-13,90.0,1.78,250000.0,3388210.0,Drake Doremus,Jennifer Lawrence,Charlie Bewley,Finola Hughes,52.0,34000.0,487.0,224.0,34983,12000,1.0,46813,150.0,206.0,6.7
3766,Machine Gun Preacher ,2011.0,Action|Biography|Crime|Drama,English,USA,R,129.0,2.35,30000000.0,537580.0,Marc Forster,Gerard Butler,Madeline Carroll,Kathy Baker,395.0,18000.0,1000.0,313.0,19620,21000,1.0,52972,124.0,134.0,6.8
3767,Margaret ,2011.0,Drama,English,USA,R,186.0,1.85,14000000.0,46495.0,Kenneth Lonergan,Matt Damon,Kieran Culkin,John Gallagher Jr.,50.0,13000.0,1000.0,338.0,14638,0,1.0,12053,119.0,116.0,6.5
3768,Margin Call ,2011.0,Biography|Drama|Thriller,English,USA,R,107.0,1.85,3500000.0,5354039.0,J.C. Chandor,Kevin Spacey,Demi Moore,Ashley Williams,78.0,18000.0,2000.0,969.0,22834,21000,8.0,92599,225.0,290.0,7.1
3769,Mars Needs Moms ,2011.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,English,USA,PG,88.0,2.35,150000000.0,21379315.0,Simon Wells,Elisabeth Harnois,Dan Fogler,Tom Everett Scott,25.0,921.0,562.0,433.0,2652,0,0.0,17590,112.0,132.0,5.4
3770,Martha Marcy May Marlene ,2011.0,Drama|Mystery|Thriller,English,USA,R,102.0,2.35,,2981638.0,Sean Durkin,Christopher Abbott,Julia Garner,Brady Corbet,46.0,321.0,300.0,287.0,1263,0,0.0,40425,186.0,348.0,6.9
3771,Melancholia ,2011.0,Drama|Sci-Fi,English,Denmark,R,130.0,2.35,7400000.0,3029870.0,Lars von Trier,Alexander Skarsgård,Kirsten Dunst,Charlotte Rampling,3000.0,10000.0,4000.0,844.0,15835,50000,1.0,128729,551.0,439.0,7.1
3772,Midnight in Paris ,2011.0,Comedy|Fantasy|Romance,English,Spain,PG-13,94.0,1.85,17000000.0,56816662.0,Woody Allen,Kurt Fuller,Audrey Fleurot,Nina Arianda,11000.0,617.0,204.0,183.0,1289,78000,1.0,301149,509.0,487.0,7.7
3773,Mission: Impossible - Ghost Protocol ,2011.0,Action|Adventure|Thriller,English,USA,PG-13,133.0,2.35,145000000.0,209364921.0,Brad Bird,Tom Cruise,Jeremy Renner,Michael Nyqvist,663.0,10000.0,10000.0,690.0,21768,35000,3.0,365104,512.0,432.0,7.4
3774,Moneyball ,2011.0,Biography|Drama|Sport,English,USA,PG-13,133.0,1.85,50000000.0,75605492.0,Bennett Miller,Philip Seymour Hoffman,Robin Wright,Brad Pitt,152.0,22000.0,18000.0,11000.0,53094,27000,1.0,283563,312.0,419.0,7.6
3775,Monte Carlo ,2011.0,Adventure|Comedy|Family|Romance,English,Hungary,PG,109.0,1.85,20000000.0,23179303.0,Thomas Bezucha,Leighton Meester,Luke Bracey,Brett Cullen,15.0,3000.0,775.0,350.0,4257,6000,3.0,32951,44.0,94.0,5.8
3776,Mr. Popper's Penguins ,2011.0,Comedy|Family|Fantasy,English,USA,PG,94.0,1.85,55000000.0,68218041.0,Mark Waters,Madeline Carroll,Ophelia Lovibond,Philip Baker Hall,70.0,1000.0,549.0,497.0,2820,14000,1.0,67191,108.0,189.0,6.0
3777,My Last Day Without You ,2011.0,Comedy|Drama|Romance,English,USA,,90.0,1.66,1000000.0,,Stefan C. Schaefer,Nicole Beharie,Marlene Forte,Reg E. Cathey,0.0,898.0,395.0,360.0,2116,370,1.0,982,12.0,21.0,5.7
3778,My Week with Marilyn ,2011.0,Biography|Drama,English,UK,R,99.0,2.35,6400000.0,14597405.0,Simon Curtis,Eddie Redmayne,Toby Jones,Julia Ormond,64.0,13000.0,2000.0,918.0,17204,17000,1.0,71679,216.0,386.0,7.0
3779,Never Back Down 2: The Beatdown ,2011.0,Action|Drama|Sport,English,USA,R,90.0,1.85,3000000.0,,Michael Jai White,Michael Jai White,Alex Meraz,Jillian Murray,2000.0,2000.0,606.0,454.0,3666,6000,3.0,13599,30.0,23.0,5.8
3780,New Year's Eve ,2011.0,Comedy|Romance,English,USA,PG-13,113.0,1.85,56000000.0,54540525.0,Garry Marshall,Robert De Niro,Common,Seth Meyers,0.0,22000.0,988.0,307.0,23456,20000,15.0,66579,134.0,200.0,5.7
3781,Newlyweds ,2011.0,Comedy|Drama,English,USA,Not Rated,95.0,,9000.0,4584.0,Edward Burns,Kerry Bishé,Caitlin FitzGerald,Daniella Pineda,0.0,296.0,205.0,133.0,690,413,1.0,1338,14.0,14.0,6.4
3782,No Strings Attached ,2011.0,Comedy|Romance,English,USA,R,108.0,2.35,25000000.0,70625986.0,Ivan Reitman,Natalie Portman,Greta Gerwig,Mindy Kaling,425.0,20000.0,962.0,766.0,22739,24000,1.0,168717,178.0,245.0,6.2
3783,October Baby ,2011.0,Drama,English,USA,PG-13,107.0,,,5355847.0,Andrew Erwin,Rachel Hendrix,Robert Amaya,Jason Burkey,10.0,544.0,264.0,245.0,1147,0,1.0,6110,82.0,40.0,6.8
3784,One Day ,2011.0,Drama|Romance,English,USA,PG-13,107.0,2.35,15000000.0,13766014.0,Lone Scherfig,Anne Hathaway,Jim Sturgess,Rafe Spall,92.0,11000.0,5000.0,358.0,17627,49000,0.0,106111,181.0,221.0,7.0
3785,Our Idiot Brother ,2011.0,Comedy|Drama,English,USA,R,90.0,1.85,5000000.0,24809547.0,Jesse Peretz,Zooey Deschanel,Adam Scott,Steve Coogan,37.0,11000.0,3000.0,1000.0,15710,11000,1.0,74875,115.0,179.0,6.4
3786,Paranormal Activity 3 ,2011.0,Horror,English,USA,R,94.0,1.85,5000000.0,104007828.0,Henry Joost,Johanna Braddy,Sprague Grayden,Christopher Nicholas Smith,24.0,581.0,438.0,434.0,2371,24000,0.0,76828,314.0,251.0,5.8
3787,Paul ,2011.0,Adventure|Comedy|Sci-Fi,English,USA,R,109.0,2.35,40000000.0,37371385.0,Greg Mottola,Bobby Lee,Nelson Ascencio,Jeremy Owen,99.0,176.0,61.0,57.0,390,42000,0.0,192462,334.0,342.0,7.0
3788,"Pink Ribbons, Inc. ",2011.0,Documentary,English,Canada,Not Rated,97.0,,1200000.0,24784.0,Léa Pool,,,,4.0,,,,0,5000,0.0,591,10.0,23.0,7.4
3789,Pirates of the Caribbean: On Stranger Tides ,2011.0,Action|Adventure|Fantasy,English,USA,PG-13,136.0,2.35,250000000.0,241063875.0,Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,252.0,40000.0,11000.0,1000.0,54083,58000,4.0,370704,484.0,448.0,6.7
3790,Polisse ,2011.0,Crime|Drama,French,France,Not Rated,127.0,1.85,,171320.0,Maïwenn,Riccardo Scamarcio,Maïwenn,Karin Viard,236.0,580.0,236.0,68.0,1129,0,1.0,10796,33.0,163.0,7.3
3791,Priest ,2011.0,Action|Fantasy|Horror|Sci-Fi|Thriller,English,USA,PG-13,87.0,2.35,60000000.0,29136626.0,Scott Stewart,Josh Wingate,Alan Dale,Jacob Hopkins,124.0,865.0,441.0,77.0,1417,20000,0.0,97089,233.0,225.0,5.7
3792,Prom ,2011.0,Comedy|Drama,English,USA,PG,104.0,1.85,8000000.0,10106233.0,Joe Nussbaum,Cameron Monaghan,Thomas McDonell,Aimee Teegarden,18.0,1000.0,962.0,741.0,5190,0,0.0,12702,32.0,83.0,5.4
3793,Puss in Boots ,2011.0,Action|Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,90.0,2.35,130000000.0,149234747.0,Chris Miller,Salma Hayek,Constance Marie,Amy Sedaris,50.0,4000.0,442.0,397.0,5046,16000,0.0,114287,137.0,246.0,6.7
3794,Q ,2011.0,Drama,French,France,,103.0,1.78,1500000.0,,Laurent Bouhnik,Déborah Révy,Johnny Amaro,Yassine Azzouz,0.0,34.0,29.0,24.0,114,754,1.0,4068,16.0,9.0,5.6
3795,Rango ,2011.0,Adventure|Animation|Comedy|Family|Western,English,USA,PG,107.0,2.35,135000000.0,123207194.0,Gore Verbinski,Johnny Depp,Ray Winstone,Stephen Root,563.0,40000.0,1000.0,939.0,43291,26000,0.0,183208,337.0,362.0,7.2
3796,Raymond Did It ,2011.0,Horror,English,USA,Unrated,83.0,2.35,40000.0,,Travis Legge,Elissa Dowling,Patricia Raven,Lindsay Felton,138.0,307.0,114.0,76.0,619,239,0.0,192,6.0,2.0,3.2
3797,Real Steel ,2011.0,Action|Drama|Sci-Fi|Sport,English,USA,PG-13,127.0,2.35,110000000.0,85463309.0,Shawn Levy,Hugh Jackman,Torey Michael Adkins,Olga Fonda,189.0,20000.0,929.0,544.0,22254,36000,1.0,254841,426.0,327.0,7.1
3798,Red Dog ,2011.0,Biography|Comedy|Drama|Family|Romance,English,Australia,PG,92.0,2.35,8500000.0,,Kriv Stenders,Noah Taylor,Keisha Castle-Hughes,Luke Ford,25.0,509.0,446.0,110.0,1248,10000,0.0,13003,80.0,54.0,7.5
3799,Red Riding Hood ,2011.0,Fantasy|Horror|Mystery|Thriller,English,USA,PG-13,100.0,2.35,42000000.0,37652565.0,Catherine Hardwicke,Gary Oldman,Billy Burke,Virginia Madsen,308.0,10000.0,2000.0,913.0,15369,20000,2.0,91151,283.0,291.0,5.4
3800,Red State ,2011.0,Action|Crime|Horror|Thriller,English,USA,R,88.0,1.85,4000000.0,,Kevin Smith,Anna Gunn,Michael Angarano,Stephen Root,0.0,1000.0,947.0,939.0,4777,16000,0.0,53342,287.0,270.0,6.2
3801,Rio ,2011.0,Adventure|Animation|Comedy|Family|Musical,English,USA,G,96.0,2.35,90000000.0,143618384.0,Carlos Saldanha,Anne Hathaway,Wanda Sykes,Will.i.am,107.0,11000.0,560.0,350.0,12071,19000,0.0,165333,186.0,240.0,7.0
3802,Rise of the Planet of the Apes ,2011.0,Action|Drama|Sci-Fi|Thriller,English,USA,PG-13,105.0,2.35,93000000.0,176740650.0,Rupert Wyatt,James Franco,David Oyelowo,Tyler Labine,81.0,11000.0,1000.0,779.0,13118,47000,0.0,403836,646.0,529.0,7.6
3803,Salvation Boulevard ,2011.0,Action|Comedy|Drama|Thriller,English,USA,R,96.0,1.85,9000000.0,27445.0,George Ratliff,Jim Gaffigan,Cree Kelly,Mike Eshaq,3.0,472.0,39.0,38.0,561,1000,5.0,3788,31.0,48.0,5.3
3804,Samsara ,2011.0,Documentary|Music,None,USA,PG-13,102.0,2.35,4000000.0,2601847.0,Ron Fricke,Collin Alfredo St. Dic,Balinese Tari Legong Dancers,Puti Sri Candra Dewi,330.0,48.0,0.0,0.0,48,26000,0.0,22457,69.0,115.0,8.5
3805,Sanctum ,2011.0,Adventure|Drama|Thriller,English,USA,R,108.0,1.85,30000000.0,23070045.0,Alister Grierson,Ioan Gruffudd,Rhys Wakefield,Richard Roxburgh,24.0,2000.0,942.0,653.0,3892,11000,0.0,47003,215.0,244.0,5.9
3806,Saving Private Perez ,2011.0,Adventure|Comedy|Western,Spanish,Mexico,PG-13,105.0,2.35,,1391770.0,Beto Gómez,Jaime Camil,Gerardo Taracena,Joaquín Cosio,5.0,274.0,154.0,122.0,793,0,6.0,1592,14.0,16.0,6.0
3807,Scream 4 ,2011.0,Horror|Mystery,English,USA,R,111.0,2.35,40000000.0,38176892.0,Wes Craven,Alison Brie,Aimee Teegarden,Shenae Grimes-Beech,0.0,2000.0,741.0,687.0,4486,26000,0.0,104119,518.0,420.0,6.2
3808,Shame ,2011.0,Drama,English,UK,NC-17,101.0,2.35,6500000.0,4000304.0,Steve McQueen,Michael Fassbender,Nicole Beharie,James Badge Dale,0.0,13000.0,898.0,726.0,15230,23000,0.0,145395,375.0,486.0,7.3
3809,Shark Night 3D ,2011.0,Horror|Thriller,English,USA,PG-13,90.0,1.85,25000000.0,18860403.0,David R. Ellis,Chris Zylka,Joel David Moore,Katharine McPhee,160.0,963.0,936.0,852.0,4952,0,0.0,20823,130.0,231.0,4.0
3810,Sherlock Holmes: A Game of Shadows ,2011.0,Action|Adventure|Crime|Mystery|Thriller,English,USA,PG-13,129.0,2.35,125000000.0,186830669.0,Guy Ritchie,Robert Downey Jr.,Eddie Marsan,Paul Anderson,0.0,21000.0,979.0,154.0,22403,39000,2.0,338635,412.0,382.0,7.5
3811,Sholem Aleichem: Laughing in the Darkness ,2011.0,Documentary,English,USA,Unrated,93.0,16.0,500000.0,906666.0,Joseph Dorman,Rachel Dratch,Peter Riegert,Jason Kravits,0.0,399.0,169.0,59.0,660,287,1.0,154,5.0,29.0,6.8
3812,Silent House ,2011.0,Drama|Horror|Mystery|Thriller,English,France,R,86.0,1.85,2000000.0,12555230.0,Chris Kentis,Eric Sheffer Stevens,Julia Taylor Ross,Adam Trese,9.0,120.0,44.0,32.0,218,0,0.0,18566,154.0,218.0,5.3
3813,Sleep Tight ,2011.0,Drama|Horror|Thriller,Spanish,Spain,Not Rated,102.0,2.35,5000000.0,,Jaume Balagueró,Luis Tosar,Tony Corvillo,Marta Etura,57.0,331.0,93.0,78.0,526,0,0.0,23756,48.0,191.0,7.2
3814,Snow Flower and the Secret Fan ,2011.0,Drama|History,English,China,PG-13,104.0,2.35,6000000.0,1346503.0,Wayne Wang,Bingbing Li,Russell Wong,Ji-hyun Jun,61.0,974.0,595.0,451.0,2430,0,0.0,3024,22.0,56.0,6.1
3815,Some Guy Who Kills People ,2011.0,Comedy|Crime|Drama|Horror|Mystery|Thriller,English,USA,R,97.0,1.85,300000.0,,Jack Perez,Kevin Corrigan,Barry Bostwick,Ahmed Best,19.0,778.0,456.0,313.0,2515,0,2.0,4550,58.0,131.0,6.4
3816,Something Borrowed ,2011.0,Comedy|Drama|Romance,English,USA,PG-13,112.0,1.85,35000000.0,39026186.0,Luke Greenfield,Ashley Williams,Steve Howey,Kirsten Day,42.0,969.0,826.0,196.0,2371,13000,4.0,48019,153.0,128.0,5.9
3817,Soul Surfer ,2011.0,Biography|Drama|Family|Sport,English,USA,PG,106.0,2.35,18000000.0,43853424.0,Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,80.0,2000.0,795.0,723.0,5024,15000,1.0,35514,114.0,110.0,7.1
3818,Sound of My Voice ,2011.0,Drama|Mystery|Sci-Fi|Thriller,English,USA,R,85.0,1.85,,405614.0,Zal Batmanglij,Christopher Denham,James Urbaniak,Constance Wu,129.0,120.0,119.0,100.0,511,0,0.0,15775,69.0,136.0,6.7
3819,Source Code ,2011.0,Mystery|Sci-Fi|Thriller,English,USA,PG-13,93.0,1.85,32000000.0,54696902.0,Duncan Jones,Jake Gyllenhaal,Cas Anvar,Russell Peters,0.0,15000.0,491.0,355.0,16034,56000,3.0,379462,571.0,522.0,7.5
3820,Spy Kids: All the Time in the World in 4D ,2011.0,Action|Adventure|Comedy|Family|Sci-Fi,English,USA,PG,89.0,1.85,27000000.0,38536376.0,Robert Rodriguez,Alexa PenaVega,Joel McHale,Daryl Sabara,0.0,2000.0,734.0,640.0,4311,0,5.0,15866,83.0,76.0,3.6
3821,Straw Dogs ,2011.0,Action|Drama|Thriller,English,USA,R,110.0,2.35,25000000.0,10324441.0,Rod Lurie,Alexander Skarsgård,Laz Alonso,Rhys Coiro,37.0,10000.0,826.0,268.0,11431,7000,1.0,27117,140.0,190.0,5.8
3822,Sucker Punch ,2011.0,Action|Fantasy,English,USA,PG-13,128.0,2.35,82000000.0,36381716.0,Zack Snyder,Jon Hamm,Abbie Cornish,Scott Glenn,0.0,4000.0,2000.0,826.0,7067,42000,4.0,197584,918.0,435.0,6.1
3823,Super 8 ,2011.0,Mystery|Sci-Fi|Thriller,English,USA,PG-13,112.0,2.35,50000000.0,126975169.0,J.J. Abrams,Joel Courtney,AJ Michalka,Zach Mills,14000.0,1000.0,560.0,417.0,3388,37000,0.0,287822,849.0,539.0,7.1
3824,Take Me Home Tonight ,2011.0,Comedy|Drama|Romance,English,USA,R,97.0,2.35,23000000.0,6923891.0,Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,31.0,2000.0,2000.0,562.0,5519,0,4.0,43867,83.0,136.0,6.3
3825,Take Shelter ,2011.0,Drama|Thriller,English,USA,R,121.0,2.35,5000000.0,1729969.0,Jeff Nichols,Katy Mixon,Shea Whigham,Robert Longstreet,337.0,982.0,463.0,41.0,1520,14000,0.0,68211,219.0,359.0,7.4
3826,The Adjustment Bureau ,2011.0,Romance|Sci-Fi|Thriller,English,USA,PG-13,106.0,1.85,50200000.0,62453315.0,George Nolfi,Matt Damon,Michael Kelly,Jon Stewart,53.0,13000.0,963.0,593.0,14607,36000,2.0,200035,407.0,413.0,7.1
3827,The Adventures of Tintin ,2011.0,Action|Adventure|Family|Mystery,English,USA,PG,107.0,2.35,135000000.0,77564037.0,Steven Spielberg,Toby Jones,Mackenzie Crook,Tony Curran,14000.0,2000.0,871.0,845.0,4631,44000,1.0,177383,447.0,440.0,7.4
3828,The Art of Getting By ,2011.0,Drama|Romance,English,USA,PG-13,83.0,2.35,,1429260.0,Gavin Wiesen,Michael Angarano,Blair Underwood,Rita Wilson,19.0,947.0,685.0,322.0,2353,0,1.0,45293,71.0,122.0,6.6
3829,The Artist ,2011.0,Comedy|Drama|Romance,English,France,PG-13,100.0,1.33,15000000.0,44667095.0,Michel Hazanavicius,Bérénice Bejo,Ed Lauter,Beth Grant,405.0,996.0,897.0,628.0,4606,30000,0.0,190030,583.0,576.0,8.0
3830,The Awakening ,2011.0,Horror|Thriller,English,UK,R,107.0,2.35,3000000.0,,Nick Murphy,Isaac Hempstead Wright,Imelda Staunton,Joseph Mawle,58.0,874.0,579.0,537.0,2363,10000,1.0,46347,112.0,195.0,6.5
3831,The Beaver ,2011.0,Drama,English,USA,PG-13,91.0,2.35,21000000.0,958319.0,Jodie Foster,Jennifer Lawrence,Cherry Jones,Riley Thomas Stewart,0.0,34000.0,242.0,220.0,34705,17000,0.0,39764,148.0,276.0,6.7
3832,The Best Exotic Marigold Hotel ,2011.0,Comedy|Drama,English,UK,PG-13,124.0,2.35,10000000.0,46377022.0,John Madden,Tom Wilkinson,Penelope Wilton,Celia Imrie,108.0,1000.0,400.0,186.0,1898,48000,3.0,75306,266.0,264.0,7.3
3833,The Big Year ,2011.0,Comedy,English,USA,PG,100.0,2.35,41000000.0,7204138.0,David Frankel,Joel McHale,Kevin Pollak,JoBeth Williams,64.0,734.0,574.0,296.0,2085,11000,0.0,34809,125.0,108.0,6.2
3834,The Change-Up ,2011.0,Comedy|Fantasy,English,USA,R,118.0,2.35,52000000.0,37035845.0,David Dobkin,Ryan Reynolds,Olivia Wilde,Mircea Monroe,71.0,16000.0,10000.0,634.0,28045,13000,2.0,136680,149.0,215.0,6.4
3835,The Darkest Hour ,2011.0,Action|Adventure|Horror|Sci-Fi|Thriller,English,USA,PG-13,89.0,2.35,30000000.0,21426805.0,Chris Gorak,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze,21.0,614.0,150.0,48.0,843,0,0.0,49312,211.0,195.0,4.9
3836,The Descendants ,2011.0,Comedy|Drama,English,USA,R,115.0,2.35,20000000.0,82624961.0,Alexander Payne,Shailene Woodley,Nick Krause,Beau Bridges,729.0,8000.0,727.0,552.0,9578,22000,0.0,205284,439.0,549.0,7.3
3837,The Devil's Double ,2011.0,Biography|Drama|Thriller,English,Belgium,R,109.0,2.35,15000000.0,1357042.0,Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,93.0,31000.0,3000.0,521.0,35561,14000,1.0,53977,125.0,167.0,7.1
3838,The Dilemma ,2011.0,Comedy|Drama,English,USA,PG-13,111.0,2.35,70000000.0,48430355.0,Ron Howard,Channing Tatum,Clint Howard,Chelcie Ross,2000.0,17000.0,1000.0,244.0,18510,0,2.0,43709,141.0,185.0,5.3
3839,The Divide ,2011.0,Drama|Sci-Fi|Thriller,English,Germany,R,122.0,2.35,3000000.0,22000.0,Xavier Gens,Michael Biehn,Lauren German,Rosanna Arquette,87.0,2000.0,683.0,605.0,4920,0,4.0,30511,226.0,174.0,5.8
3840,The Flowers of War ,2011.0,Drama|History|Romance|War,Mandarin,China,R,146.0,2.35,94000000.0,9213.0,Yimou Zhang,Christian Bale,Ni Ni,Shigeo Kobayashi,611.0,23000.0,196.0,28.0,23240,13000,2.0,38690,130.0,136.0,7.6
3841,The FP ,2011.0,Comedy,English,USA,R,82.0,2.35,60000.0,40557.0,Brandon Trost,Clifton Collins Jr.,Sean Whalen,James DeBello,32.0,968.0,407.0,128.0,2046,0,0.0,1389,22.0,66.0,5.6
3842,The Girl with the Dragon Tattoo ,2011.0,Crime|Drama|Mystery|Thriller,English,USA,R,158.0,2.35,90000000.0,102515793.0,David Fincher,Robin Wright,Goran Visnjic,Joely Richardson,21000.0,18000.0,1000.0,585.0,20388,54000,1.0,330152,632.0,517.0,7.8
3843,The Greatest Movie Ever Sold ,2011.0,Comedy|Documentary,English,USA,PG-13,90.0,,1500000.0,638476.0,Morgan Spurlock,Quentin Tarantino,J.J. Abrams,Donald Trump,293.0,16000.0,14000.0,808.0,32405,0,1.0,13223,45.0,130.0,6.6
3844,The Green Hornet ,2011.0,Action|Comedy|Crime|Sci-Fi|Thriller,English,USA,PG-13,119.0,2.35,120000000.0,98780042.0,Michel Gondry,Christoph Waltz,Tom Wilkinson,Chad L. Coleman,1000.0,11000.0,1000.0,741.0,13391,14000,0.0,136019,443.0,447.0,5.8
3845,The Grey ,2011.0,Action|Adventure|Drama|Thriller,English,USA,R,117.0,2.35,25000000.0,51533608.0,Joe Carnahan,Liam Neeson,Frank Grillo,James Badge Dale,248.0,14000.0,798.0,726.0,16606,32000,1.0,203111,755.0,408.0,6.8
3846,The Guard ,2011.0,Comedy|Crime|Thriller,English,Ireland,R,96.0,2.35,6000000.0,5359774.0,John Michael McDonagh,Don Cheadle,Fionnula Flanagan,Wale Ojo,51.0,3000.0,482.0,28.0,3569,17000,0.0,64794,131.0,261.0,7.3
3847,The Hangover Part II ,2011.0,Comedy,English,USA,R,102.0,2.35,80000000.0,254455986.0,Todd Phillips,Bradley Cooper,Mason Lee,Mike Tyson,480.0,14000.0,670.0,461.0,16143,56000,0.0,375879,402.0,383.0,6.5
3848,The Harvest/La Cosecha ,2011.0,Documentary,English,USA,,80.0,,560000.0,2245.0,U. Roberto Romano,,,,6.0,,,,0,88,0.0,57,2.0,3.0,7.2
3849,The Help ,2011.0,Drama,English,USA,PG-13,146.0,1.85,25000000.0,169705587.0,Tate Taylor,Emma Stone,Bryce Dallas Howard,Mike Vogel,150.0,15000.0,3000.0,2000.0,23227,75000,2.0,318955,460.0,373.0,8.1
3850,The Hit List ,2011.0,Action|Thriller,English,USA,R,90.0,1.85,6000000.0,,William Kaufman,Drew Waters,Sean Cook,Cole Hauser,58.0,848.0,816.0,787.0,3469,0,1.0,10196,39.0,26.0,5.4
3851,The Ides of March ,2011.0,Drama,English,USA,R,101.0,2.35,12500000.0,40962534.0,George Clooney,Ryan Gosling,Philip Seymour Hoffman,Jennifer Ehle,0.0,33000.0,22000.0,1000.0,57077,22000,1.0,188652,288.0,421.0,7.1
